Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,FT_Result,HomeTeam_Elo,AwayTeam_Elo,Home_Strength,Away_Strength,H2H_Home_Wins,H2H_Away_Wins,H2H_Draws,Home_vs_Away_Wins,Home_vs_Away_Draws,Home_vs_Away_Avg_Goals,H2H_Avg_Home_Goals,H2H_Avg_Away_Goals,Home_Team_Rank,Away_Team_Rank
1993-08-24,1993,Arsenal,Leeds,2,1,H,1,1529.9176499960467,1484.5163299591784,485.21573333051145,-15.402803197168168,0,0,0,0,0,0,1.5185185185185186,1.4444444444444444,4,5
1993-08-24,1993,Sheffield United,Wimbledon,2,1,H,1,1502.4466396040227,1497.525621405349,-529.3628480794758,495.0,0,0,0,0,0,0,2.0,1.0,20,6
1993-08-24,1993,Oldham,Coventry,3,3,D,0,1486.718089539782,1524.4505262309947,-519.5879282932989,985.4306649202221,0,0,0,0,0,0,3.0,3.0,21,11
1993-08-24,1993,Man City,Blackburn,0,2,A,-1,1458.0388427807443,1526.935756913059,-1014.165730141809,489.55074186625694,0,0,0,0,0,0,1.36,1.4,16,2
1993-08-25,1993,Norwich,Ipswich,1,0,H,1,1532.9343842011772,1525.8070281347966,494.165730141809,1476.4687306692438,0,0,0,0,0,0,1.3333333333333333,1.0,12,19
1993-08-25,1993,Southampton,Swindon,5,1,H,1,1471.3446136154407,1442.4581584130337,-1510.0,-1518.732409323842,0,0,0,0,0,0,5.0,1.0,18,22
1993-08-25,1993,Liverpool,Tottenham,1,2,A,-1,1524.9887147208985,1529.3529036675882,1471.267590676158,484.97294001774685,0,0,0,0,0,0,1.6774193548387097,1.2419354838709677,9,15
1993-08-25,1993,Chelsea,QPR,2,0,H,1,1488.6828558364687,1470.7233361712626,-1018.9619342509783,-529.1386701595559,0,0,0,0,0,0,1.4545454545454546,0.6363636363636364,14,8
1993-08-25,1993,Newcastle,Everton,1,0,H,1,1491.7550467631622,1525.1362695037399,-1014.5693350797779,1485.637151920524,0,0,0,0,0,0,1.6206896551724137,1.1379310344827587,3,17
1993-08-25,1993,West Ham,Sheffield Weds,2,0,H,1,1488.0793638633013,1456.9906407084277,-1009.7842666694886,-1010.2149315897108,0,0,0,0,0,0,1.5384615384615385,1.0769230769230769,13,7
1993-08-27,1993,Man City,Coventry,1,1,D,0,1460.8716480540697,1521.6177209576692,-1142.3582368346215,739.0729986901665,0,0,0,0,0,0,1.4285714285714286,0.7142857142857143,16,11
1993-08-28,1993,Norwich,Swindon,0,0,D,0,1529.114178314638,1446.278364299573,752.0760546400559,-1506.8854603967416,0,0,0,0,0,0,0.0,0.0,12,22
1993-08-28,1993,Oldham,Wimbledon,1,1,D,0,1487.1845377595175,1497.0591731856136,-389.69094621997414,-4.36165990100568,0,0,0,0,0,0,1.0,1.0,21,6
1993-08-28,1993,Aston Villa,Tottenham,1,0,H,1,1515.5968235149608,1513.058756535297,-14.223637897213962,744.9768836935348,0,0,0,0,0,0,1.3571428571428572,1.3035714285714286,10,15
1993-08-28,1993,Sheffield United,Ipswich,1,1,D,0,1503.4536715892327,1524.7999961495866,-22.640730708269643,724.1179519516385,0,0,0,0,0,0,1.0,1.0,20,19
1993-08-28,1993,Chelsea,Sheffield Weds,1,1,D,0,1487.3183752734656,1458.3551212714308,-396.5406166454181,-1129.6810396581084,0,0,0,0,0,0,1.0769230769230769,1.0,14,7
1993-08-28,1993,Arsenal,Everton,2,0,H,1,1544.7112342373348,1510.3426852624518,735.0408824876781,741.2891022496025,0,0,0,0,0,0,1.7419354838709677,1.1451612903225807,4,17
1993-08-28,1993,Southampton,Man United,1,3,A,-1,1459.349314768725,1553.8898504355716,-771.8854603967416,1121.0756690956673,0,0,0,0,0,0,1.8297872340425532,1.3617021276595744,18,1
